FrameNumber,FrametimeMs,ImageIndex,PresentMode
470,4.14989,0,2
471,4.19611,2,2
472,4.22646,1,2
473,4.228,0,2
474,4.14926,2,2
475,4.06235,1,2
476,4.25808,0,2
477,4.06276,2,2
478,4.23596,1,2
479,4.09495,0,2
480,4.28979,2,2
481,4.1748,1,2
482,4.04802,0,2
483,4.14789,2,2
484,4.25631,1,2
485,4.20458,0,2
486,4.0597,2,2
487,4.17229,1,2
488,4.2743,0,2
489,4.04618,2,2
490,4.23097,1,2
491,4.2185,0,2
492,4.06132,2,2
493,4.26181,1,2
494,4.109,0,2
495,4.11203,2,2
496,4.17505,1,2
497,4.30749,0,2
498,4.02259,2,2
499,4.17243,1,2
500,4.31482,0,2
501,4.01351,2,2
502,4.26414,1,2
503,4.18871,0,2
504,4.17051,2,2
505,4.1659,1,2
506,4.15865,0,2
507,4.07021,2,2
508,4.22552,1,2
509,4.21341,0,2
510,4.18937,2,2
511,4.03342,1,2
512,4.17533,0,2
513,4.14033,2,2
514,4.24631,1,2
515,4.09858,0,2
516,4.28282,2,2
517,4.04347,1,2
518,4.2614,0,2
519,4.0713,2,2
520,4.24968,1,2
521,4.10614,0,2
522,4.28661,2,2
523,4.07133,1,2
524,4.16576,0,2
525,4.12833,2,2
526,4.20083,1,2
527,4.24939,0,2
528,4.16895,2,2
529,4.15852,1,2
530,4.05864,0,2
531,4.16821,2,2
532,4.24141,1,2
533,4.19161,0,2
534,4.1921,2,2
535,4.02688,1,2
536,4.28867,0,2
537,4.05623,2,2
538,4.16346,1,2
539,4.17263,0,2
540,4.15325,2,2
541,4.26924,1,2
542,4.07893,0,2
543,4.17231,2,2
544,4.24027,1,2
545,4.19061,0,2
546,4.07583,2,2
547,4.17833,1,2
548,4.13269,0,2
549,4.18068,2,2
550,4.22642,1,2
551,4.22639,0,2
552,4.04994,2,2
553,4.17497,1,2
554,4.27411,0,2
555,4.05109,2,2
556,4.16128,1,2
557,4.29676,0,2
558,4.04004,2,2
559,4.17302,1,2
560,4.26792,0,2
561,4.08932,2,2
562,4.22674,1,2
563,4.19224,0,2
564,4.19928,2,2
565,4.02899,1,2
566,4.26767,0,2
567,4.07071,2,2
568,4.15195,1,2
569,4.23138,0,2
570,4.10922,2,2
571,4.17077,1,2
572,4.22136,0,2
573,4.11247,2,2
574,4.18217,1,2
575,4.23315,0,2
576,4.16928,2,2
577,4.09044,1,2
578,4.17612,0,2
579,4.17861,2,2
580,4.19858,1,2
581,4.17017,0,2
582,4.1754,2,2
583,4.15321,1,2
584,4.17139,0,2
585,4.13588,2,2
586,4.19439,1,2
587,4.11534,0,2
588,4.23556,2,2
589,4.14762,1,2
590,4.18613,0,2
591,4.08727,2,2
592,4.22973,1,2
593,4.16354,0,2
594,4.14499,2,2
595,4.17347,1,2
596,4.16114,0,2
597,4.14371,2,2
598,4.1711,1,2
599,4.2091,0,2
600,4.15429,2,2
601,4.19714,1,2
602,4.20272,0,2
603,4.08198,2,2
604,4.19996,1,2
605,4.18787,0,2
606,4.1843,2,2
607,4.08575,1,2
608,4.16509,0,2
609,4.17143,2,2
610,4.20815,1,2
611,4.11066,0,2
612,4.17896,2,2
613,4.21797,1,2
614,4.10762,0,2
615,5.87408,2,2
616,2.45347,1,2
617,4.16896,0,2
618,4.24277,2,2
619,4.11872,1,2
620,4.14222,0,2
621,4.16218,2,2
622,4.183,1,2
623,4.22493,0,2
624,4.16112,2,2
625,4.1467,1,2
626,4.17999,0,2
627,4.10575,2,2
628,4.20358,1,2
629,4.20351,0,2
630,4.15987,2,2
631,4.10318,1,2
632,4.16337,0,2
633,4.17375,2,2
634,4.22253,1,2
635,4.16936,0,2
636,4.20975,2,2
637,4.12889,1,2
638,4.17683,0,2
639,4.11029,2,2
640,4.19298,1,2
641,4.19055,0,2
642,4.17159,2,2
643,4.09519,1,2
644,4.222,0,2
645,4.10792,2,2
646,4.17122,1,2
647,4.2345,0,2
648,4.16801,2,2
649,4.09557,1,2
650,4.1598,0,2
651,4.17814,2,2
652,4.21045,1,2
653,4.19722,0,2
654,4.1733,2,2
655,4.14164,1,2
656,4.12153,0,2
657,4.16911,2,2
658,4.1526,1,2
659,4.1963,0,2
660,4.14215,2,2
661,4.23229,1,2
662,4.10194,0,2
663,4.17109,2,2
664,4.21041,1,2
665,4.18614,0,2
666,4.16021,2,2
667,4.11468,1,2
668,4.22371,0,2
669,4.11847,2,2
670,4.21127,1,2
671,4.10969,0,2
672,4.24632,2,2
673,4.14407,1,2
674,4.15773,0,2
675,4.12016,2,2
676,4.22818,1,2
677,4.16722,0,2
678,4.16036,2,2
679,4.17407,1,2
680,4.15794,0,2
681,4.11658,2,2
682,4.19744,1,2
683,4.13349,0,2
684,4.23578,2,2
685,4.14723,1,2
686,4.09905,0,2
687,4.18152,2,2
688,4.20704,1,2
689,4.19384,0,2
690,4.10728,2,2
691,4.17081,1,2
692,4.13915,0,2
693,4.17949,2,2
694,4.21275,1,2
695,4.19585,0,2
696,4.16082,2,2
697,4.15179,1,2
698,4.16938,0,2
699,4.1164,2,2
700,4.20865,1,2
701,4.17566,0,2
702,4.18041,2,2
703,4.12626,1,2
704,4.13036,0,2
705,4.18177,2,2
706,4.20013,1,2
707,4.20459,0,2
708,4.16412,2,2
709,4.12055,1,2
710,4.13032,0,2
711,4.17184,2,2
712,4.19894,1,2
713,4.1942,0,2
714,4.11615,2,2
715,4.17185,1,2
716,4.20939,0,2
717,4.11966,2,2
718,4.1976,1,2
719,4.18937,0,2
720,4.17397,2,2
721,4.10348,1,2
722,4.21394,0,2
723,4.12268,2,2
724,4.2,1,2
725,4.21597,0,2
726,4.11878,2,2
727,4.19302,1,2
728,4.15879,0,2
729,4.11136,2,2
730,4.21891,1,2
731,4.19579,0,2
732,4.09044,2,2
733,4.2129,1,2
734,4.14336,0,2
